catcher,pitcher,day_of_game,wild_pitch,passed_ball,series
佐藤,佐々木 朗希,2024-03-31,1,0,2024RS
佐藤,ダイクストラ,2024-04-04,1,0,2024RS
佐藤,佐々木 朗希,2024-04-07,1,0,2024RS
佐藤,澤村 拓一,2024-04-07,1,0,2024RS
佐藤,西村 天裕,2024-04-16,1,0,2024RS
佐藤,佐々木 朗希,2024-05-10,1,0,2024RS
佐藤,坂本 光士郎,2024-05-11,1,0,2024RS
田村,澤村 拓一,2024-05-15,1,0,2024RS
佐藤,国吉 佑樹,2024-05-21,1,0,2024RS
佐藤,鈴木 昭汰,2024-05-29,1,0,2024RS
佐藤,種市 篤暉,2024-06-05,1,0,2024RS
佐藤,横山 陸人,2024-06-05,1,0,2024RS
佐藤,佐々木 朗希,2024-06-08,1,0,2024RS
田村,澤村 拓一,2024-06-13,1,0,2024RS
佐藤,種市 篤暉,2024-06-14,0,1,2024RS
佐藤,東妻 勇輔,2024-06-21,1,0,2024RS
佐藤,西村 天裕,2024-06-21,1,0,2024RS
佐藤,横山 陸人,2024-06-29,1,0,2024RS
佐藤,廣畑 敦也,2024-07-03,1,0,2024RS
田村,コルデロ,2024-07-04,1,0,2024RS
佐藤,小島 和哉,2024-07-05,1,0,2024RS
佐藤,西村 天裕,2024-07-09,1,0,2024RS
田村,廣畑 敦也,2024-07-10,1,0,2024RS
佐藤,益田 直也,2024-07-12,1,0,2024RS
佐藤,種市 篤暉,2024-07-13,1,0,2024RS
佐藤,岩下 大輝,2024-07-20,1,0,2024RS
田村,吉田 凌,2024-08-03,1,0,2024RS
佐藤,種市 篤暉,2024-08-04,1,0,2024RS
佐藤,岩下 大輝,2024-08-06,1,0,2024RS
佐藤,佐々木 朗希,2024-08-08,1,0,2024RS
田村,西野 勇士,2024-08-12,1,0,2024RS
田村,小島 和哉,2024-08-20,1,0,2024RS
松川,佐々木 朗希,2024-08-22,1,0,2024RS
佐藤,益田 直也,2024-08-24,1,0,2024RS
佐藤,小島 和哉,2024-08-27,1,0,2024RS
佐藤,佐々木 朗希,2024-08-30,1,0,2024RS
佐藤,種市 篤暉,2024-09-01,1,0,2024RS
佐藤,メルセデス,2024-09-13,0,1,2024RS
佐藤,小島 和哉,2024-09-14,2,0,2024RS
佐藤,八木 彬,2024-09-16,1,0,2024RS
田村,坂本 光士郎,2024-09-18,1,0,2024RS
