監督,-,森保 一,-,1968/08/23,-/-,長崎
GK,1,川島 永嗣,ストラスブール,1983/03/20,185/82,埼玉
GK,12,権田 修一,清水エスパルス,1989/03/03,187/84,東京
GK,23,シュミット ダニエル,シントトロイデン,1992/02/03,197/88,アメリカ
DF,2,山根 視来,川崎フロンターレ,1993/12/22,178/72,神奈川
DF,3,谷口 彰悟,川崎フロンターレ,1991/07/15,183/75,熊本
DF,4,板倉 滉,ボルシアMG,1997/01/27,186/75,神奈川
DF,5,長友 佑都,FC東京,1986/09/12,170/68,愛媛
DF,16,冨安 健洋,アーセナル,1998/11/05,187/84,福岡
DF,19,酒井 宏樹,浦和レッズ,1990/04/12,185/78,長野
DF,22,吉田 麻也,シャルケ04,1988/08/24,189/87,長崎
DF,26,伊藤 洋輝,シュツットガルト,1999/05/12,186/78,静岡
MF,6,遠藤 航,シュツットガルト,1993/02/09,178/76,神奈川
MF,7,柴崎 岳,レガネス,1992/05/28,175/64,青森
MF,8,堂安 律,フライブルク,1998/06/16,172/70,兵庫
MF,9,三笘 薫,ブライトン,1997/05/20,178/73,神奈川
MF,10,南野 拓実,モナコ,1995/01/16,174/68,大阪
MF,11,久保 建英,ソシエダ,2001/06/04,173/67,神奈川
MF,13,守田 英正,スポルティング,1995/05/10,177/74,大阪
MF,14,伊東 純也,スタッドランス,1993/03/09,176/66,神奈川
MF,15,鎌田 大地,フランクフルト,1996/08/05,180/72,愛媛
MF,17,田中 碧,デュッセルドルフ,1998/09/10,180/75,神奈川
MF,24,相馬 勇紀,名古屋グランパス,1997/02/25,166/68,東京
FW,18,浅野 拓磨,ボーフム,1994/11/10,173/71,三重
FW,20,町野 修斗,湘南ベルマーレ,1999/09/30,185/77,三重
FW,21,上田 綺世,セルクルブルージュ,1998/08/28,182/76,茨城
FW,25,前田 大然,セルティック,1997/10/20,173/67,大阪
